maker,model,mileage,manufacture_year,engine_displacement,engine_power,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,views,ratings,price_eur
audi,a3,125317,2005,3189,184,auto,4,5,gasoline,2015-12-29 19:37:45.17156+00,2016-01-18 11:07:36.405106+00,233,3,11903.52
subaru,legacy,141000,2008,2457,127,auto,4,5,gasoline,2015-12-29 19:58:45.725337+00,2016-02-27 20:00:05.218286+00,288,7,13504
opel,tigra,139000,1999,1389,66,man,2,4,gasoline,2015-12-29 20:02:29.565558+00,2016-02-27 20:15:04.659822+00,281,4,1500.44
opel,vectra,142472,2001,1796,92,man,4,5,gasoline,2015-12-29 20:28:17.235014+00,2016-01-04 04:51:21.371056+00,81,6,1650.48
suzuki,samurai,101052,1992,1298,51,man,2,4,gasoline,2015-12-29 20:31:39.326858+00,2015-12-30 21:51:14.146125+00,139,3,1200.37
ford,fiesta,110500,2002,1388,59,man,4,5,gasoline,2015-12-29 20:31:50.587009+00,2016-02-27 20:45:04.615186+00,177,0,2980.87
ford,fiesta,101000,2007,1999,110,man,2,5,gasoline,2015-12-29 20:32:40.037303+00,2016-02-10 22:21:46.812105+00,124,5,6001.78
audi,a1,100660,2012,1390,90,man,2,4,gasoline,2015-12-29 21:13:47.22898+00,2016-02-27 21:15:06.934248+00,284,3,11339.34
mini,cooper,29088,2013,1598,90,auto,2,4,gasoline,2015-12-29 21:17:02.073913+00,2016-01-18 13:56:06.128338+00,148,1,17568.21
audi,a6-allroad,46598,2014,2967,230,auto,4,5,diesel,2015-12-29 21:33:34.70435+00,2016-01-18 13:59:25.252887+00,82,1,45383.42
bmw,x3,66800,2013,2993,190,auto,4,5,diesel,2015-12-29 21:53:52.450746+00,2016-02-27 22:00:07.47922+00,235,3,32774.69
opel,astra,166251,2011,1248,70,man,4,5,diesel,2015-12-29 22:19:52.87479+00,2016-01-01 01:36:26.525687+00,136,10,6525.94
volvo,v40,151594,2013,1560,84,man,4,5,diesel,2015-12-29 22:24:45.880783+00,2016-01-17 21:41:56.661395+00,210,7,11710.47
seat,ibiza,106000,2010,1199,55,man,4,5,diesel,2015-12-29 22:39:29.921593+00,2016-02-10 23:16:53.793403+00,141,7,6802
skoda,octavia,205946,2001,1600,75,man,5,5,gasoline,2015-12-29 23:16:35.718175+00,2016-01-25 23:00:58.863582+00,262,3,2590.67
nissan,x-trail,6800,2015,1598,96,man,4,5,diesel,2015-12-29 23:33:43.252774+00,2016-01-18 18:10:34.774787+00,114,1,22258.59
audi,s3,28500,2015,1984,221,auto,4,5,gasoline,2015-12-30 00:59:36.140149+00,2016-02-11 00:30:18.8317+00,289,3,36128.68
bmw,x3,52474,2012,1995,135,auto,4,5,diesel,2015-12-30 01:51:11.344945+00,2016-02-28 02:00:19.70936+00,282,1,26436.82
ford,focus,65354,2013,1560,85,man,4,5,diesel,2015-12-30 02:05:05.319869+00,2016-01-18 22:39:35.938909+00,249,2,8808.62
bmw,m5,32500,2013,2993,280,auto,4,5,diesel,2015-12-30 02:43:32.749522+00,2016-02-28 02:45:05.769128+00,173,4,61508.22
opel,astra,112305,2008,1910,110,man,2,4,diesel,2015-12-30 03:23:01.217341+00,2015-12-31 04:51:08.249542+00,271,7,7452.22
honda,hr-v,109231,2001,1590,77,man,2,4,gasoline,2015-12-30 03:25:53.759923+00,2015-12-31 04:51:22.557851+00,113,8,2990.9
mitsubishi,colt,100000,2005,1332,70,man,4,5,gasoline,2015-12-30 03:40:54.098379+00,2015-12-31 05:05:49.725344+00,95,0,2900.85
ford,focus,170138,2004,1596,74,man,4,5,gasoline,2015-12-30 04:26:47.201554+00,2016-01-06 16:24:37.599084+00,108,7,1800.52
ford,ka,46076,2012,1242,51,man,2,4,gasoline,2015-12-30 04:27:19.976985+00,2016-02-28 04:30:04.337982+00,287,3,5455.63
ford,c-max,136641,2013,1997,120,man,4,5,diesel,2015-12-30 04:27:20.376382+00,2016-02-11 01:59:33.688707+00,76,2,12993.86
audi,a3,12500,2015,1598,81,man,4,4,diesel,2015-12-30 04:40:04.7062+00,2015-12-31 06:18:47.752527+00,215,2,20908.18
audi,a3,15543,2015,1598,81,auto,4,4,diesel,2015-12-30 04:41:21.029709+00,2015-12-31 06:52:20.671997+00,88,5,21727.42
toyota,aygo,29877,2012,998,50,man,4,4,gasoline,2015-12-30 06:40:47.855586+00,2015-12-31 08:06:14.91904+00,132,1,5901.74
bmw,x1,66433,2012,1995,135,man,4,5,diesel,2015-12-30 08:33:37.717449+00,2016-01-17 15:02:46.078055+00,108,7,24694.3
opel,astra,208269,2006,1700,74,man,5,5,diesel,2015-12-30 08:50:30.512691+00,2016-01-20 03:16:04.000786+00,299,4,3071.8
mini,cooper,30186,2012,1598,90,man,2,2,gasoline,2015-12-30 09:07:49.389869+00,2016-02-28 09:15:02.729546+00,183,5,17285.12
skoda,octavia,30900,2015,1598,77,man,4,5,diesel,2015-12-30 10:57:06.461521+00,2016-02-11 12:23:06.851478+00,233,0,17308.11
mercedes-benz,viano,114200,2004,2148,110,man,4,6,diesel,2015-12-30 11:05:23.460263+00,2016-02-28 11:15:03.783674+00,162,1,11600.44
audi,q3,66515,2012,1968,103,man,4,5,diesel,2015-12-30 11:52:46.772888+00,2016-01-17 19:26:00.516931+00,103,2,19985.9
audi,a6,187000,2006,2698,132,auto,4,5,diesel,2015-12-30 12:14:31.27062+00,2016-02-28 12:15:05.5183+00,102,6,10803.18
skoda,fabia,13600,2015,1422,66,man,4,5,diesel,2015-12-30 12:27:26.769041+00,2016-02-28 12:30:04.727387+00,133,7,11759.47
ford,b-max,2500,2015,998,74,man,4,5,gasoline,2015-12-30 12:48:16.691361+00,2016-01-05 22:51:48.264508+00,233,9,14281.24
jaguar,xf,2500,2015,2179,147,auto,4,5,diesel,2015-12-30 12:51:17.103907+00,2016-02-28 13:00:23.475255+00,134,1,34195.11
bmw,x3,38615,2012,2993,190,auto,4,5,diesel,2015-12-30 12:51:18.93889+00,2016-01-17 20:43:45.805666+00,208,0,36910.92
audi,q5,64400,2012,2967,176,auto,4,5,diesel,2015-12-30 12:52:25.796684+00,2016-02-11 13:17:00.756376+00,92,10,32354.59
audi,a6,11552,2015,1968,140,auto,4,5,diesel,2015-12-30 13:12:27.38613+00,2016-02-28 13:15:04.319155+00,250,1,40726.05
audi,q3,18363,2014,1984,125,auto,4,5,gasoline,2015-12-30 13:13:29.356336+00,2016-02-28 13:15:06.18996+00,199,3,33960.07
audi,a4,120000,2005,1968,103,man,4,5,diesel,2015-12-30 13:21:47.239655+00,2016-02-11 13:45:30.422168+00,75,3,9001.67
